DIVISION,DATE,TIME,FIXTURE,HOME TEAM,AWAY TEAM
EC,4/5/16,19:45,Derby V Hull ,Derby,Hull
EC,4/5/16,19:45,Ipswich V Charlton ,Ipswich,Charlton
EC,4/5/16,19:45,Leeds V QPR ,Leeds,QPR
EC,4/5/16,19:45,Middlesbrough V Huddersfield ,Middlesbrough,Huddersfield
EC,4/5/16,19:45,MK Dons V Wolves ,MK Dons,Wolves
EC,4/5/16,19:45,Preston V Fulham ,Preston,Fulham
EC,4/5/16,19:45,Sheff Wed V Blackburn ,Sheff Wed,Blackburn
EC,4/5/16,20:00,Reading V Nottm Forest ,Reading,Nottm Forest
EC,4/9/16,15:00,Bristol City V Sheff Wed ,Bristol City,Sheff Wed
EC,4/9/16,15:00,Burnley V Leeds ,Burnley,Leeds
EC,4/9/16,15:00,Derby V Bolton ,Derby,Bolton
EC,4/9/16,15:00,Fulham V Cardiff ,Fulham,Cardiff
EC,4/9/16,15:00,Huddersfield V Hull ,Huddersfield,Hull
EC,4/9/16,15:00,Ipswich V Brentford ,Ipswich,Brentford
EC,4/9/16,15:00,Middlesbrough V Preston ,Middlesbrough,Preston
EC,4/9/16,15:00,MK Dons V Rotherham ,MK Dons,Rotherham
EC,4/9/16,15:00,Nottm Forest V Brighton ,Nottm Forest,Brighton
EC,4/9/16,15:00,QPR V Charlton ,QPR,Charlton
EC,4/9/16,15:00,Reading V Birmingham ,Reading,Birmingham
EC,4/9/16,15:00,Wolves V Blackburn ,Wolves,Blackburn
EC,4/15/16,19:45,Brighton V Fulham ,Brighton,Fulham
EC,4/16/16,15:00,Birmingham V Burnley ,Birmingham,Burnley
EC,4/16/16,15:00,Blackburn V Huddersfield ,Blackburn,Huddersfield
EC,4/16/16,15:00,Bolton V Middlesbrough ,Bolton,Middlesbrough
EC,4/16/16,15:00,Brentford V Bristol City ,Brentford,Bristol City
EC,4/16/16,15:00,Cardiff V QPR ,Cardiff,QPR
EC,4/16/16,15:00,Charlton V Derby ,Charlton,Derby
EC,4/16/16,15:00,Hull V Wolves ,Hull,Wolves
EC,4/16/16,15:00,Leeds V Reading ,Leeds,Reading
EC,4/16/16,15:00,Preston V MK Dons ,Preston,MK Dons
EC,4/16/16,15:00,Rotherham V Nottm Forest ,Rotherham,Nottm Forest
EC,4/16/16,15:00,Sheff Wed V Ipswich ,Sheff Wed,Ipswich
EC,4/19/16,19:45,Birmingham V Preston ,Birmingham,Preston
EC,4/19/16,19:45,Brentford V Cardiff ,Brentford,Cardiff
EC,4/19/16,19:45,Brighton V QPR ,Brighton,QPR
EC,4/19/16,19:45,Bristol City V Derby ,Bristol City,Derby
EC,4/19/16,19:45,Burnley V Middlesbrough ,Burnley,Middlesbrough
EC,4/19/16,19:45,Ipswich V Fulham ,Ipswich,Fulham
EC,4/19/16,19:45,Leeds V Wolves ,Leeds,Wolves
EC,4/19/16,19:45,Nottm Forest V Blackburn ,Nottm Forest,Blackburn
EC,4/19/16,19:45,Rotherham V Huddersfield ,Rotherham,Huddersfield
EC,4/19/16,19:45,Sheff Wed V MK Dons ,Sheff Wed,MK Dons
EC,4/19/16,20:00,Bolton V Charlton ,Bolton,Charlton
EC,4/19/16,20:00,Reading V Hull ,Reading,Hull
EC,4/23/16,15:00,Blackburn V Bristol City ,Blackburn,Bristol City
EC,4/23/16,15:00,Cardiff V Bolton ,Cardiff,Bolton
EC,4/23/16,15:00,Charlton V Brighton ,Charlton,Brighton
EC,4/23/16,15:00,Derby V Sheff Wed ,Derby,Sheff Wed
EC,4/23/16,15:00,Fulham V Nottm Forest ,Fulham,Nottm Forest
EC,4/23/16,15:00,Huddersfield V Birmingham ,Huddersfield,Birmingham
EC,4/23/16,15:00,Hull V Leeds ,Hull,Leeds
EC,4/23/16,15:00,Middlesbrough V Ipswich ,Middlesbrough,Ipswich
EC,4/23/16,15:00,MK Dons V Brentford ,MK Dons,Brentford
EC,4/23/16,15:00,Preston V Burnley ,Preston,Burnley
EC,4/23/16,15:00,QPR V Reading ,QPR,Reading
EC,4/23/16,15:00,Wolves V Rotherham ,Wolves,Rotherham
EC,4/30/16,12:30,Sheff Wed V Cardiff ,Sheff Wed,Cardiff
EC,4/30/16,15:00,Birmingham V Middlesbrough ,Birmingham,Middlesbrough
EC,4/30/16,15:00,Bolton V Hull ,Bolton,Hull
EC,4/30/16,15:00,Brentford V Fulham ,Brentford,Fulham
EC,4/30/16,15:00,Brighton V Derby ,Brighton,Derby
EC,4/30/16,15:00,Bristol City V Huddersfield ,Bristol City,Huddersfield
EC,4/30/16,15:00,Burnley V QPR ,Burnley,QPR
EC,4/30/16,15:00,Ipswich V MK Dons ,Ipswich,MK Dons
EC,4/30/16,15:00,Leeds V Charlton ,Leeds,Charlton
EC,4/30/16,15:00,Nottm Forest V Wolves ,Nottm Forest,Wolves
EC,4/30/16,15:00,Reading V Preston ,Reading,Preston
EC,4/30/16,15:00,Rotherham V Blackburn ,Rotherham,Blackburn
EC,5/7/16,12:30,Blackburn V Reading ,Blackburn,Reading
EC,5/7/16,12:30,Cardiff V Birmingham ,Cardiff,Birmingham
EC,5/7/16,12:30,Charlton V Burnley ,Charlton,Burnley
EC,5/7/16,12:30,Derby V Ipswich ,Derby,Ipswich
EC,5/7/16,12:30,Fulham V Bolton ,Fulham,Bolton
EC,5/7/16,12:30,Huddersfield V Brentford ,Huddersfield,Brentford
EC,5/7/16,12:30,Hull V Rotherham ,Hull,Rotherham
EC,5/7/16,12:30,Middlesbrough V Brighton ,Middlesbrough,Brighton
EC,5/7/16,12:30,MK Dons V Nottm Forest ,MK Dons,Nottm Forest
EC,5/7/16,12:30,Preston V Leeds ,Preston,Leeds
EC,5/7/16,12:31,QPR V Bristol City ,QPR,Bristol City
EC,5/7/16,12:30,Wolves V Sheff Wed ,Wolves,Sheff Wed
L1,8/8/15,15:00,Burton V Scunthorpe,Burton,Scunthorpe
L1,8/8/15,15:00,Chesterfield V Barnsley,Chesterfield,Barnsley
L1,8/8/15,15:00,Colchester V Blackpool,Colchester,Blackpool
L1,8/8/15,15:00,Coventry V Wigan,Coventry,Wigan
L1,8/8/15,15:00,Crewe V Port Vale,Crewe,Port Vale
L1,8/8/15,15:00,Doncaster V Bury,Doncaster,Bury
L1,8/8/15,15:00,Fleetwood V Southend,Fleetwood,Southend
L1,8/8/15,15:00,Gillingham V Sheff Utd,Gillingham,Sheff Utd
L1,8/8/15,15:00,Rochdale V Peterborough,Rochdale,Peterborough
L1,8/8/15,15:00,Shrewsbury V Millwall,Shrewsbury,Millwall
L1,8/8/15,15:00,Swindon V Bradford,Swindon,Bradford
L1,8/8/15,15:00,Walsall V Oldham,Walsall,Oldham
L1,8/15/15,15:00,Barnsley V Burton,Barnsley,Burton
L1,8/15/15,15:00,Blackpool V Rochdale,Blackpool,Rochdale
L1,8/15/15,15:00,Bradford V Shrewsbury,Bradford,Shrewsbury
L1,8/15/15,15:00,Bury V Swindon,Bury,Swindon
L1,8/15/15,15:00,Millwall V Coventry,Millwall,Coventry
L1,8/15/15,15:00,Oldham V Fleetwood,Oldham,Fleetwood
L1,8/15/15,15:00,Peterborough V Colchester,Peterborough,Colchester
L1,8/15/15,15:00,Port Vale V Gillingham,Port Vale,Gillingham
L1,8/15/15,15:00,Scunthorpe V Crewe,Scunthorpe,Crewe
L1,8/15/15,15:00,Sheff Utd V Chesterfield,Sheff Utd,Chesterfield
L1,8/15/15,15:00,Southend V Walsall,Southend,Walsall
L1,8/16/15,12:30,Wigan V Doncaster,Wigan,Doncaster
L1,8/18/15,19:30,Peterborough V Sheff Utd,Peterborough,Sheff Utd
L1,8/18/15,19:45,Blackpool V Burton,Blackpool,Burton
L1,8/18/15,19:45,Bradford V Gillingham,Bradford,Gillingham
L1,8/18/15,19:45,Bury V Fleetwood,Bury,Fleetwood
L1,8/18/15,19:45,Colchester V Oldham,Colchester,Oldham
L1,8/18/15,19:45,Coventry V Crewe,Coventry,Crewe
L1,8/18/15,19:45,Millwall V Barnsley,Millwall,Barnsley
L1,8/18/15,19:45,Rochdale V Walsall,Rochdale,Walsall
L1,8/18/15,19:45,Shrewsbury V Chesterfield,Shrewsbury,Chesterfield
L1,8/18/15,19:45,Swindon V Port Vale,Swindon,Port Vale
L1,8/19/15,19:45,Doncaster V Southend,Doncaster,Southend
L1,8/19/15,19:45,Wigan V Scunthorpe,Wigan,Scunthorpe
L1,8/22/15,15:00,Barnsley V Bradford,Barnsley,Bradford
L1,8/22/15,15:00,Burton V Peterborough,Burton,Peterborough
L1,8/22/15,15:00,Chesterfield V Rochdale,Chesterfield,Rochdale
L1,8/22/15,15:00,Crewe V Bury,Crewe,Bury
L1,8/22/15,15:00,Fleetwood V Colchester,Fleetwood,Colchester
L1,8/22/15,15:00,Gillingham V Wigan,Gillingham,Wigan
L1,8/22/15,15:00,Oldham V Shrewsbury,Oldham,Shrewsbury
L1,8/22/15,15:00,Port Vale V Doncaster,Port Vale,Doncaster
L1,8/22/15,15:00,Scunthorpe V Millwall,Scunthorpe,Millwall
L1,8/22/15,15:00,Sheff Utd V Blackpool,Sheff Utd,Blackpool
L1,8/22/15,15:00,Southend V Swindon,Southend,Swindon
L1,8/22/15,15:00,Walsall V Coventry,Walsall,Coventry
L1,8/29/15,15:00,Blackpool V Walsall,Blackpool,Walsall
L1,8/29/15,15:00,Bradford V Port Vale,Bradford,Port Vale
L1,8/29/15,15:00,Bury V Oldham,Bury,Oldham
L1,8/29/15,15:00,Colchester V Scunthorpe,Colchester,Scunthorpe
L1,8/29/15,15:00,Doncaster V Fleetwood,Doncaster,Fleetwood
L1,8/29/15,15:00,Millwall V Chesterfield,Millwall,Chesterfield
L1,8/29/15,15:00,Peterborough V Gillingham,Peterborough,Gillingham
L1,8/29/15,15:00,Rochdale V Barnsley,Rochdale,Barnsley
L1,8/29/15,15:00,Shrewsbury V Burton,Shrewsbury,Burton
L1,8/29/15,15:00,Swindon V Sheff Utd,Swindon,Sheff Utd
L1,8/29/15,15:00,Wigan V Crewe,Wigan,Crewe
L1,8/31/15,19:45,Coventry V Southend,Coventry,Southend
L1,9/5/15,12:05,Southend V Peterborough,Southend,Peterborough
L1,9/5/15,15:00,Barnsley V Shrewsbury,Barnsley,Shrewsbury
L1,9/5/15,15:00,Chesterfield V Wigan,Chesterfield,Wigan
L1,9/5/15,15:00,Crewe V Swindon,Crewe,Swindon
L1,9/5/15,15:00,Fleetwood V Rochdale,Fleetwood,Rochdale
L1,9/5/15,15:00,Gillingham V Doncaster,Gillingham,Doncaster
L1,9/5/15,15:00,Oldham V Bradford,Oldham,Bradford
L1,9/5/15,15:00,Scunthorpe V Blackpool,Scunthorpe,Blackpool
L1,9/5/15,15:00,Walsall V Bury,Walsall,Bury
L1,9/6/15,14:30,Burton V Coventry,Burton,Coventry
L1,9/12/15,15:00,Barnsley V Swindon ,Barnsley,Swindon
L1,9/12/15,15:00,Burton V Rochdale ,Burton,Rochdale
L1,9/12/15,15:00,Chesterfield V Colchester ,Chesterfield,Colchester
L1,9/12/15,15:00,Crewe V Millwall ,Crewe,Millwall
L1,9/12/15,15:00,Fleetwood V Bradford ,Fleetwood,Bradford
L1,9/12/15,15:00,Gillingham V Blackpool ,Gillingham,Blackpool
L1,9/12/15,15:00,Oldham V Peterborough ,Oldham,Peterborough
L1,9/12/15,15:00,Port Vale V Wigan ,Port Vale,Wigan
L1,9/12/15,15:00,Scunthorpe V Coventry ,Scunthorpe,Coventry
L1,9/12/15,15:00,Sheff Utd V Bury ,Sheff Utd,Bury
L1,9/12/15,15:00,Southend V Shrewsbury ,Southend,Shrewsbury
L1,9/12/15,15:00,Walsall V Doncaster ,Walsall,Doncaster
L1,9/15/15,19:45,Port Vale V Millwall ,Port Vale,Millwall
L1,9/15/15,19:45,Sheff Utd V Colchester ,Sheff Utd,Colchester
L1,9/19/15,15:00,Blackpool V Barnsley ,Blackpool,Barnsley
L1,9/19/15,15:00,Bury V Port Vale ,Bury,Port Vale
L1,9/19/15,15:00,Colchester V Gillingham ,Colchester,Gillingham
L1,9/19/15,15:00,Coventry V Chesterfield ,Coventry,Chesterfield
L1,9/19/15,15:00,Doncaster V Oldham ,Doncaster,Oldham
L1,9/19/15,15:00,Millwall V Southend ,Millwall,Southend
L1,9/19/15,15:00,Peterborough V Walsall ,Peterborough,Walsall
L1,9/19/15,15:00,Rochdale V Scunthorpe ,Rochdale,Scunthorpe
L1,9/19/15,15:00,Shrewsbury V Crewe ,Shrewsbury,Crewe
L1,9/19/15,15:00,Swindon V Burton ,Swindon,Burton
L1,9/19/15,15:00,Wigan V Fleetwood ,Wigan,Fleetwood
L1,9/20/15,12:00,Bradford V Sheff Utd ,Bradford,Sheff Utd
L1,9/26/15,15:00,Barnsley V Gillingham ,Barnsley,Gillingham
L1,9/26/15,15:00,Bradford V Peterborough ,Bradford,Peterborough
L1,9/26/15,15:00,Bury V Coventry ,Bury,Coventry
L1,9/26/15,15:00,Chesterfield V Burton ,Chesterfield,Burton
L1,9/26/15,15:00,Fleetwood V Port Vale ,Fleetwood,Port Vale
L1,9/26/15,15:00,Millwall V Rochdale ,Millwall,Rochdale
L1,9/26/15,15:00,Oldham V Wigan ,Oldham,Wigan
L1,9/26/15,15:00,Sheff Utd V Doncaster ,Sheff Utd,Doncaster
L1,9/26/15,15:00,Shrewsbury V Blackpool ,Shrewsbury,Blackpool
L1,9/26/15,15:00,Southend V Scunthorpe ,Southend,Scunthorpe
L1,9/26/15,15:00,Swindon V Colchester ,Swindon,Colchester
L1,9/26/15,15:00,Walsall V Crewe ,Walsall,Crewe
L1,9/29/15,19:45,Blackpool V Chesterfield ,Blackpool,Chesterfield
L1,9/29/15,19:45,Burton V Sheff Utd ,Burton,Sheff Utd
L1,9/29/15,19:45,Colchester V Bradford ,Colchester,Bradford
L1,9/29/15,19:45,Crewe V Southend ,Crewe,Southend
L1,9/29/15,19:45,Doncaster V Swindon ,Doncaster,Swindon
L1,9/29/15,19:45,Gillingham V Fleetwood ,Gillingham,Fleetwood
L1,9/29/15,19:45,Peterborough V Bury ,Peterborough,Bury
L1,9/29/15,19:45,Port Vale V Oldham ,Port Vale,Oldham
L1,9/29/15,19:45,Rochdale V Shrewsbury ,Rochdale,Shrewsbury
L1,9/29/15,19:45,Scunthorpe V Walsall ,Scunthorpe,Walsall
L1,9/29/15,19:45,Wigan V Millwall ,Wigan,Millwall
L1,10/3/15,15:00,Blackpool V Swindon ,Blackpool,Swindon
L1,10/3/15,15:00,Burton V Southend ,Burton,Southend
L1,10/3/15,15:00,Colchester V Bury ,Colchester,Bury
L1,10/3/15,15:00,Coventry V Shrewsbury ,Coventry,Shrewsbury
L1,10/3/15,15:00,Crewe V Chesterfield ,Crewe,Chesterfield
L1,10/3/15,15:00,Doncaster V Barnsley ,Doncaster,Barnsley
L1,10/3/15,15:00,Gillingham V Oldham ,Gillingham,Oldham
L1,10/3/15,15:00,Peterborough V Millwall ,Peterborough,Millwall
L1,10/3/15,15:00,Port Vale V Sheff Utd ,Port Vale,Sheff Utd
L1,10/3/15,15:00,Rochdale V Bradford ,Rochdale,Bradford
L1,10/3/15,15:00,Scunthorpe V Fleetwood ,Scunthorpe,Fleetwood
L1,10/3/15,15:00,Wigan V Walsall ,Wigan,Walsall
L1,10/10/15,15:00,Barnsley V Crewe ,Barnsley,Crewe
L1,10/10/15,15:00,Bradford V Blackpool ,Bradford,Blackpool
L1,10/10/15,15:00,Bury V Wigan ,Bury,Wigan
L1,10/10/15,15:00,Chesterfield V Gillingham ,Chesterfield,Gillingham
L1,10/10/15,15:00,Fleetwood V Coventry ,Fleetwood,Coventry
L1,10/10/15,15:00,Millwall V Doncaster ,Millwall,Doncaster
L1,10/10/15,15:00,Oldham V Scunthorpe ,Oldham,Scunthorpe
L1,10/10/15,15:00,Sheff Utd V Rochdale ,Sheff Utd,Rochdale
L1,10/10/15,15:00,Shrewsbury V Colchester ,Shrewsbury,Colchester
L1,10/10/15,15:00,Southend V Port Vale ,Southend,Port Vale
L1,10/10/15,15:00,Swindon V Peterborough ,Swindon,Peterborough
L1,10/10/15,15:00,Walsall V Burton ,Walsall,Burton
L1,10/17/15,15:00,Bury V Rochdale ,Bury,Rochdale
L1,10/17/15,15:00,Coventry V Blackpool ,Coventry,Blackpool
L1,10/17/15,15:00,Crewe V Gillingham ,Crewe,Gillingham
L1,10/17/15,15:00,Doncaster V Bradford ,Doncaster,Bradford
L1,10/17/15,15:00,Fleetwood V Burton ,Fleetwood,Burton
L1,10/17/15,15:00,Millwall V Swindon ,Millwall,Swindon
L1,10/17/15,15:00,Oldham V Sheff Utd ,Oldham,Sheff Utd
L1,10/17/15,15:00,Port Vale V Peterborough ,Port Vale,Peterborough
L1,10/17/15,15:00,Scunthorpe V Shrewsbury ,Scunthorpe,Shrewsbury
L1,10/17/15,15:00,Southend V Barnsley ,Southend,Barnsley
L1,10/17/15,15:00,Walsall V Chesterfield ,Walsall,Chesterfield
L1,10/17/15,15:00,Wigan V Colchester ,Wigan,Colchester
L1,10/20/15,19:45,Barnsley V Walsall ,Barnsley,Walsall
L1,10/20/15,19:45,Blackpool V Millwall ,Blackpool,Millwall
L1,10/20/15,19:45,Bradford V Bury ,Bradford,Bury
L1,10/20/15,19:45,Burton V Crewe ,Burton,Crewe
L1,10/20/15,19:45,Chesterfield V Southend ,Chesterfield,Southend
L1,10/20/15,19:45,Colchester V Port Vale ,Colchester,Port Vale
L1,10/20/15,19:45,Gillingham V Scunthorpe ,Gillingham,Scunthorpe
L1,10/20/15,19:45,Peterborough V Wigan ,Peterborough,Wigan
L1,10/20/15,19:45,Rochdale V Coventry ,Rochdale,Coventry
L1,10/20/15,19:45,Sheff Utd V Fleetwood ,Sheff Utd,Fleetwood
L1,10/20/15,19:45,Shrewsbury V Doncaster ,Shrewsbury,Doncaster
L1,10/20/15,19:45,Swindon V Oldham ,Swindon,Oldham
L1,10/24/15,12:15,Sheff Utd V Millwall ,Sheff Utd,Millwall
L1,10/24/15,15:00,Barnsley V Fleetwood ,Barnsley,Fleetwood
L1,10/24/15,15:00,Blackpool V Crewe ,Blackpool,Crewe
L1,10/24/15,15:00,Bradford V Wigan ,Bradford,Wigan
L1,10/24/15,15:00,Burton V Port Vale ,Burton,Port Vale
L1,10/24/15,15:00,Chesterfield V Scunthorpe ,Chesterfield,Scunthorpe
L1,10/24/15,15:00,Colchester V Walsall ,Colchester,Walsall
L1,10/24/15,15:00,Gillingham V Southend ,Gillingham,Southend
L1,10/24/15,15:00,Peterborough V Doncaster ,Peterborough,Doncaster
L1,10/24/15,15:00,Rochdale V Oldham ,Rochdale,Oldham
L1,10/24/15,15:00,Shrewsbury V Bury ,Shrewsbury,Bury
L1,10/24/15,15:00,Swindon V Coventry ,Swindon,Coventry
L1,10/31/15,15:00,Bury V Blackpool ,Bury,Blackpool
L1,10/31/15,15:00,Coventry V Peterborough ,Coventry,Peterborough
L1,10/31/15,15:00,Crewe V Sheff Utd ,Crewe,Sheff Utd
L1,10/31/15,15:00,Doncaster V Colchester ,Doncaster,Colchester
L1,10/31/15,15:00,Fleetwood V Chesterfield ,Fleetwood,Chesterfield
L1,10/31/15,15:00,Millwall V Bradford ,Millwall,Bradford
L1,10/31/15,15:00,Oldham V Burton ,Oldham,Burton
L1,10/31/15,15:00,Port Vale V Shrewsbury ,Port Vale,Shrewsbury
L1,10/31/15,15:00,Scunthorpe V Barnsley ,Scunthorpe,Barnsley
L1,10/31/15,15:00,Southend V Rochdale ,Southend,Rochdale
L1,10/31/15,15:00,Walsall V Gillingham ,Walsall,Gillingham
L1,10/31/15,15:00,Wigan V Swindon ,Wigan,Swindon
L1,11/3/15,19:45,Coventry V Barnsley ,Coventry,Barnsley
L1,11/14/15,15:00,Barnsley V Port Vale ,Barnsley,Port Vale
L1,11/14/15,15:00,Blackpool V Doncaster ,Blackpool,Doncaster
L1,11/14/15,15:00,Bradford V Crewe ,Bradford,Crewe
L1,11/14/15,15:00,Burton V Millwall ,Burton,Millwall
L1,11/14/15,15:00,Chesterfield V Oldham ,Chesterfield,Oldham
L1,11/14/15,15:00,Colchester V Coventry ,Colchester,Coventry
L1,11/14/15,15:00,Gillingham V Bury ,Gillingham,Bury
L1,11/14/15,15:00,Peterborough V Fleetwood ,Peterborough,Fleetwood
L1,11/14/15,15:00,Rochdale V Wigan ,Rochdale,Wigan
L1,11/14/15,15:00,Sheff Utd V Southend ,Sheff Utd,Southend
L1,11/14/15,15:00,Shrewsbury V Walsall ,Shrewsbury,Walsall
L1,11/14/15,15:00,Swindon V Scunthorpe ,Swindon,Scunthorpe
L1,11/21/15,15:00,Bury V Burton ,Bury,Burton
L1,11/21/15,15:00,Coventry V Gillingham ,Coventry,Gillingham
L1,11/21/15,15:00,Crewe V Peterborough ,Crewe,Peterborough
L1,11/21/15,15:00,Doncaster V Rochdale ,Doncaster,Rochdale
L1,11/21/15,15:00,Fleetwood V Swindon ,Fleetwood,Swindon
L1,11/21/15,15:00,Millwall V Colchester ,Millwall,Colchester
L1,11/21/15,15:00,Oldham V Barnsley ,Oldham,Barnsley
L1,11/21/15,15:00,Port Vale V Chesterfield ,Port Vale,Chesterfield
L1,11/21/15,15:00,Scunthorpe V Bradford ,Scunthorpe,Bradford
L1,11/21/15,15:00,Southend V Blackpool ,Southend,Blackpool
L1,11/21/15,15:00,Walsall V Sheff Utd ,Walsall,Sheff Utd
L1,11/21/15,15:00,Wigan V Shrewsbury ,Wigan,Shrewsbury
L1,11/24/15,19:45,Bradford V Coventry ,Bradford,Coventry
L1,11/24/15,19:45,Bury V Scunthorpe ,Bury,Scunthorpe
L1,11/24/15,19:45,Colchester V Crewe ,Colchester,Crewe
L1,11/24/15,19:45,Doncaster V Chesterfield ,Doncaster,Chesterfield
L1,11/24/15,19:45,Fleetwood V Millwall ,Fleetwood,Millwall
L1,11/24/15,19:45,Gillingham V Rochdale ,Gillingham,Rochdale
L1,11/24/15,19:45,Oldham V Southend ,Oldham,Southend
L1,11/24/15,19:45,Peterborough V Barnsley ,Peterborough,Barnsley
L1,11/24/15,19:45,Port Vale V Blackpool ,Port Vale,Blackpool
L1,11/24/15,19:45,Sheff Utd V Shrewsbury ,Sheff Utd,Shrewsbury
L1,11/24/15,19:45,Swindon V Walsall ,Swindon,Walsall
L1,11/24/15,19:45,Wigan V Burton ,Wigan,Burton
L1,11/28/15,15:00,Barnsley V Sheff Utd ,Barnsley,Sheff Utd
L1,11/28/15,15:00,Blackpool V Fleetwood ,Blackpool,Fleetwood
L1,11/28/15,15:00,Burton V Colchester ,Burton,Colchester
L1,11/28/15,15:00,Chesterfield V Swindon ,Chesterfield,Swindon
L1,11/28/15,15:00,Coventry V Doncaster ,Coventry,Doncaster
L1,11/28/15,15:00,Crewe V Oldham ,Crewe,Oldham
L1,11/28/15,15:00,Millwall V Bury ,Millwall,Bury
L1,11/28/15,15:00,Rochdale V Port Vale ,Rochdale,Port Vale
L1,11/28/15,15:00,Scunthorpe V Peterborough ,Scunthorpe,Peterborough
L1,11/28/15,15:00,Shrewsbury V Gillingham ,Shrewsbury,Gillingham
L1,11/28/15,15:00,Southend V Wigan ,Southend,Wigan
L1,11/28/15,15:00,Walsall V Bradford ,Walsall,Bradford
L1,12/12/15,15:00,Bradford V Southend ,Bradford,Southend
L1,12/12/15,15:00,Bury V Chesterfield ,Bury,Chesterfield
L1,12/12/15,15:00,Colchester V Barnsley ,Colchester,Barnsley
L1,12/12/15,15:00,Doncaster V Crewe ,Doncaster,Crewe
L1,12/12/15,15:00,Fleetwood V Walsall ,Fleetwood,Walsall
L1,12/12/15,15:00,Gillingham V Burton ,Gillingham,Burton
L1,12/12/15,15:00,Oldham V Millwall ,Oldham,Millwall
L1,12/12/15,15:00,Peterborough V Shrewsbury ,Peterborough,Shrewsbury
L1,12/12/15,15:00,Port Vale V Scunthorpe ,Port Vale,Scunthorpe
L1,12/12/15,15:00,Sheff Utd V Coventry ,Sheff Utd,Coventry
L1,12/12/15,15:00,Swindon V Rochdale ,Swindon,Rochdale
L1,12/12/15,15:00,Wigan V Blackpool ,Wigan,Blackpool
L1,12/18/15,19:45,Southend V Bury ,Southend,Bury
L1,12/19/15,15:00,Barnsley V Wigan ,Barnsley,Wigan
L1,12/19/15,15:00,Blackpool V Peterborough ,Blackpool,Peterborough
L1,12/19/15,15:00,Burton V Doncaster ,Burton,Doncaster
L1,12/19/15,15:00,Chesterfield V Bradford ,Chesterfield,Bradford
L1,12/19/15,15:00,Coventry V Oldham ,Coventry,Oldham
L1,12/19/15,15:00,Crewe V Fleetwood ,Crewe,Fleetwood
L1,12/19/15,15:00,Millwall V Gillingham ,Millwall,Gillingham
L1,12/19/15,15:00,Rochdale V Colchester ,Rochdale,Colchester
L1,12/19/15,15:00,Scunthorpe V Sheff Utd ,Scunthorpe,Sheff Utd
L1,12/19/15,15:00,Shrewsbury V Swindon ,Shrewsbury,Swindon
L1,12/19/15,15:00,Walsall V Port Vale ,Walsall,Port Vale
L1,12/26/15,15:00,Blackpool V Oldham ,Blackpool,Oldham
L1,12/26/15,15:00,Bradford V Burton ,Bradford,Burton
L1,12/26/15,15:00,Bury V Barnsley ,Bury,Barnsley
L1,12/26/15,15:00,Colchester V Southend ,Colchester,Southend
L1,12/26/15,15:00,Coventry V Port Vale ,Coventry,Port Vale
L1,12/26/15,15:00,Doncaster V Scunthorpe ,Doncaster,Scunthorpe
L1,12/26/15,15:00,Millwall V Walsall ,Millwall,Walsall
L1,12/26/15,15:00,Peterborough V Chesterfield ,Peterborough,Chesterfield
L1,12/26/15,15:00,Rochdale V Crewe ,Rochdale,Crewe
L1,12/26/15,15:00,Shrewsbury V Fleetwood ,Shrewsbury,Fleetwood
L1,12/26/15,15:00,Swindon V Gillingham ,Swindon,Gillingham
L1,12/26/15,15:00,Wigan V Sheff Utd ,Wigan,Sheff Utd
L1,12/28/15,13:00,Southend V Millwall ,Southend,Millwall
L1,12/28/15,15:00,Barnsley V Blackpool ,Barnsley,Blackpool
L1,12/28/15,15:00,Burton V Swindon ,Burton,Swindon
L1,12/28/15,15:00,Chesterfield V Coventry ,Chesterfield,Coventry
L1,12/28/15,15:00,Crewe V Shrewsbury ,Crewe,Shrewsbury
L1,12/28/15,15:00,Fleetwood V Wigan ,Fleetwood,Wigan
L1,12/28/15,15:00,Gillingham V Colchester ,Gillingham,Colchester
L1,12/28/15,15:00,Oldham V Doncaster ,Oldham,Doncaster
L1,12/28/15,15:00,Port Vale V Bury ,Port Vale,Bury
L1,12/28/15,15:00,Scunthorpe V Rochdale ,Scunthorpe,Rochdale
L1,12/28/15,15:00,Sheff Utd V Bradford ,Sheff Utd,Bradford
L1,12/28/15,15:00,Walsall V Peterborough ,Walsall,Peterborough
L1,1/2/16,15:00,Barnsley V Millwall ,Barnsley,Millwall
L1,1/2/16,15:00,Burton V Blackpool ,Burton,Blackpool
L1,1/2/16,15:00,Chesterfield V Shrewsbury ,Chesterfield,Shrewsbury
L1,1/2/16,15:00,Crewe V Coventry ,Crewe,Coventry
L1,1/2/16,15:00,Fleetwood V Bury ,Fleetwood,Bury
L1,1/2/16,15:00,Gillingham V Bradford ,Gillingham,Bradford
L1,1/2/16,15:00,Oldham V Colchester ,Oldham,Colchester
L1,1/2/16,15:00,Port Vale V Swindon ,Port Vale,Swindon
L1,1/2/16,15:00,Scunthorpe V Wigan ,Scunthorpe,Wigan
L1,1/2/16,15:00,Sheff Utd V Peterborough ,Sheff Utd,Peterborough
L1,1/2/16,15:00,Southend V Doncaster ,Southend,Doncaster
L1,1/2/16,15:00,Walsall V Rochdale ,Walsall,Rochdale
L1,1/9/16,15:00,Blackpool V Sheff Utd ,Blackpool,Sheff Utd
L1,1/9/16,15:00,Bradford V Barnsley ,Bradford,Barnsley
