Chelsea
Tottenham Hotspur
Manchester City
Liverpool
Arsenal
Manchester United
Everton
Southampton
AFC Bournemouth
West Bromwich Albion
West Ham United
Leicester City
Stoke City
Crystal Palace
Swansea City
Burnley
Watford
Hull City
Middlesbrough
Sunderland
